sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference,game_type
football,Indiana,Alabama,ESPN,23.9,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Rose Bowl; Thursday 4PM ET,0,0,0,Unknown,postseason
football,Ohio State,Miami,ESPN,19.018,2025,0,TV Media Blog,TV Media Blog chart bi3yR; CFP Quarterfinal; Wednesday 7:30PM ET,0,0,1,Unknown,postseason
football,Georgia,Ole Miss,ESPN,18.664,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Sugar Bowl; Thursday 8PM ET,0,0,1,Unknown,postseason
football,Ohio State,Indiana,FOX,18.332,2025,0,TV Media Blog,TV Media Blog chart eTC9L; B1G Championship; Saturday 8PM ET,0,0,1,Unknown,postseason
football,Texas Tech,Oregon,ESPN,15.9,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Orange Bowl; Thursday 12PM ET,0,0,0,Unknown,postseason
football,Oklahoma,Alabama,ABC,14.941,2025,0,TV Media Blog,TV Media Blog chart bi3yR; CFP First Round; Friday 8PM ET,0,0,1,Unknown,postseason
football,Texas A&M,Miami,ABC,14.717,2025,0,TV Media Blog,TV Media Blog chart bi3yR; CFP First Round; Saturday 12PM ET,0,0,0,Unknown,postseason
football,Georgia,Ole Miss,ABC,9.8,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Oklahoma,Michigan,ABC,9.092,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Texas,Michigan,ABC,9.051,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Citrus Bowl; Wednesday 3PM ET,0,0,0,Unknown,postseason
football,Texas,Oklahoma,ABC,8.7,2025,0,TV Media Blog,TV Media Blog chart 5FsRY; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,BYU,Georgia Tech,ABC,8.696,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Pop-Tarts Bowl; Saturday 3:30PM ET,0,0,0,Unknown,postseason
football,Alabama,Tennessee,ABC,8.251,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Navy,Army,CBS,7.837,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Saturday 3PM ET,0,0,0,Unknown,regular_season
